Category,Operation,HTTP Method,Endpoint,Description,Request Body,Response Type,Example Response,Status Codes
Concepts,Create,POST,/api/v1/concepts,Create a new concept,"{""name"": ""string"", ""summary"": ""string"", ""mastery_level"": number}",Concept Object,"{""id"": ""concept_123"", ""name"": ""System Dynamics"", ""mastery_level"": 7}","201: Created, 400: Bad Request"
Concepts,Get All,GET,/api/v1/concepts,Retrieve all concepts,None,Array of Concept Objects,"[{""id"": ""concept_123"", ""name"": ""System Dynamics""}]","200: OK, 500: Internal Error"
Concepts,Get One,GET,/api/v1/concepts/:id,Retrieve specific concept by ID,None,Concept Object,"{""id"": ""concept_123"", ""name"": ""System Dynamics""}","200: OK, 404: Not Found"
Concepts,Update,PUT,/api/v1/concepts/:id,Update existing concept,"{""name"": ""string"", ""summary"": ""string"", ""mastery_level"": number}",Updated Concept Object,"{""id"": ""concept_123"", ""name"": ""Updated Name""}","200: OK, 404: Not Found, 400: Bad Request"
Concepts,Delete,DELETE,/api/v1/concepts/:id,Delete concept and relationships,None,Success Message,"{""message"": ""Concept deleted successfully""}","200: OK, 404: Not Found"

Essays,Create,POST,/api/v1/essays,Create a new essay,"{""title"": ""string"", ""content"": ""string""}",Essay Object,"{""id"": ""essay_123"", ""title"": ""My Essay"", ""created_at"": ""2025-09-20T21:15:46Z""}","201: Created, 400: Bad Request"
Essays,Get All,GET,/api/v1/essays,Retrieve all essays,None,Array of Essay Objects,"[{""id"": ""essay_123"", ""title"": ""My Essay""}]","200: OK, 500: Internal Error"
Essays,Get One,GET,/api/v1/essays/:id,Retrieve specific essay by ID,None,Essay Object,"{""id"": ""essay_123"", ""title"": ""My Essay"", ""content"": ""Full content...""}","200: OK, 404: Not Found"
Essays,Update,PUT,/api/v1/essays/:id,Update existing essay,"{""title"": ""string"", ""content"": ""string""}",Updated Essay Object,"{""id"": ""essay_123"", ""title"": ""Updated Title""}","200: OK, 404: Not Found, 400: Bad Request"
