Entity Type,Field Name,Data Type,JSON Key,Validation,Description,Constraints,Example Value,JSON Behavior
Concept,ID,string,id,Auto-generated,Unique identifier for the concept,Auto-generated with prefix concept_,concept_1758402946,Always present
Concept,Name,string,name,No validation,Name of the concept,Can be empty string,System Dynamics,Always present
Concept,Summary,string,summary,No validation,Brief description of the concept,Optional field | omitempty,Study of complex systems,Excluded if empty string
Concept,MasteryLevel,int,mastery_level,No validation,Understanding level from 0-10,0-10 range | omitempty,7,Excluded if 0
Concept,LastReviewed,time.Time,last_reviewed,Auto-generated,Timestamp of last review,ISO 8601 format | omitempty,2025-09-20T21:15:46Z,Excluded if zero time

Claim,ID,string,id,Auto-generated,Unique identifier for the claim,Auto-generated with prefix claim_,claim_1758402946,Always present
Claim,Text,string,text,No validation,The claim statement,Can be empty string,Complex systems exhibit emergent properties,Always present
Claim,ConfidenceScore,int,confidence_score,No validation,Confidence level from 0-10,0-10 range | omitempty,8,Excluded if 0
Claim,IsVerified,bool,is_verified,No validation,Whether the claim has been verified,true/false,false,Always present

Source,ID,string,id,Auto-generated,Unique identifier for the source,Auto-generated with prefix source_,source_1758402946,Always present
Source,Type,string,type,No validation,Type of source,Book/Article/Video/etc,Book,Always present
Source,Title,string,title,No validation,Title of the source,Can be empty string,Thinking in Systems,Always present
Source,Author,string,author,No validation,Author of the source,Optional field | omitempty,Donella Meadows,Excluded if empty string
Source,URL,string,url,No validation,URL to the source,Optional field | omitempty,https://example.com/source,Excluded if empty string
Source,DateAdded,time.Time,date_added,Auto-generated,When source was added,Auto-generated ISO 8601,2025-09-20T21:15:46Z,Always present

Question,ID,string,id,Auto-generated,Unique identifier for the question,Auto-generated with prefix question_,question_1758402946,Always present
Question,Text,string,text,No validation,The question text,Can be empty string,How do emergent properties arise?,Always present
Question,Priority,int,priority,No validation,Priority level,Numeric value | omitempty,8,Excluded if 0
Question,Status,string,status,No validation,Current status,open/answered/in-progress,open,Always present

Essay,ID,string,id,Auto-generated,Unique identifier for the essay,Auto-generated with prefix essay_,essay_1758402946,Always present
Essay,Title,string,title,No validation,Title of the essay,Can be empty string,Understanding Complex Systems,Always present
Essay,Content,string,content,No validation,Full text content of the essay,Can be empty string,This essay explores...,Always present
Essay,CreatedAt,time.Time,created_at,Auto-generated,Creation timestamp,Auto-generated ISO 8601,2025-09-20T21:15:46Z,Always present
Essay,UpdatedAt,time.Time,updated_at,Auto-generated,Last modification timestamp,Auto-generated ISO 8601 | omitempty,2025-09-20T22:30:15Z,Excluded if zero time

Relationship,From,string,from,No validation,Source node ID,Should reference existing node,concept_1758402946,Always present
Relationship,To,string,to,No validation,Target node ID,Should reference existing node,source_1758402946,Always present
Relationship,Type,string,type,No validation,Relationship type,Should be valid type,DERIVED_FROM,Always present
Relationship,Data,map[string]interface{},data,No validation,Additional relationship properties,JSON object | omitempty,"{""polarity"": ""positive""}",Excluded if empty/nil
